The Black Phone,Horror,Thriller,To be filled
Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
Incantation,Horror,To be filled,To be filled
Winnie-The-Pooh: Blood and Honey,Horror,To be filled,To be filled
Nope,Horror,Mystery,Sci-Fi
Bodies Bodies Bodies,Comedy,Horror,Thriller
Last Night in Soho,Drama,Horror,Mystery
The Munsters,Comedy,Family,Fantasy
X,Horror,Thriller,To be filled
Orphan: First Kill,Crime,Drama,Horror
Resident Evil: Welcome to Raccoon City,Action,Horror,Sci-Fi
Crimes of the Future,Drama,Horror,Sci-Fi
Men,Drama,Fantasy,Horror
Morbius,Action,Adventure,Horror
Day Shift,Action,Comedy,Fantasy
Malnazidos,Action,Adventure,Fantasy
Watcher,Drama,Horror,Thriller
Orphan,Horror,Mystery,Thriller
Midsommar,Drama,Horror,Mystery
It,Horror,To be filled,To be filled
American Psycho,Crime,Drama,Horror
Old,Drama,Horror,Mystery
Scream,Horror,Mystery,Thriller
Mad God,Animation,Fantasy,Horror
What We Do in the Shadows,Comedy,Horror,To be filled
Srpski film,Horror,Mystery,Thriller
Get Out,Horror,Mystery,Thriller
Hellboy,Action,Adventure,Fantasy
The Mist,Horror,Sci-Fi,Thriller
Overlord,Action,Horror,Sci-Fi
Fresh,Comedy,Horror,Thriller
Hocus Pocus 2,Comedy,Family,Fantasy
Hereditary,Drama,Horror,Mystery
Spree,Action,Comedy,Crime
The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
Resident Evil,Action,Horror,Sci-Fi
Alien,Horror,Sci-Fi,To be filled
Prey,Action,Drama,Horror
The Shining,Drama,Horror,To be filled
It Chapter Two,Drama,Fantasy,Horror
Barbarian,Horror,Thriller,To be filled
The Conjuring,Horror,Mystery,Thriller
Scream 6,Horror,Mystery,Thriller
Us,Horror,Mystery,Thriller
Fear Street: 1994,Drama,Horror,Mystery
Alien: Covenant,Horror,Sci-Fi,Thriller
The Thing,Horror,Mystery,Sci-Fi
The VVitch: A New-England Folktale,Drama,Fantasy,Horror
Annihilation,Adventure,Drama,Horror
The Deadly Mantis,Family,Horror,Sci-Fi
Ku bei,Horror,To be filled,To be filled
Halloween Ends,Horror,Thriller,To be filled
Fear Street: 1978,Drama,Horror,Mystery
The Shallows,Action,Drama,Horror
Beast,Adventure,Drama,Horror
Sinister,Horror,Mystery,Thriller
The Cabin in the Woods,Horror,Mystery,Thriller
A Quiet Place Part II,Drama,Horror,Sci-Fi
The Invitation,Horror,Thriller,To be filled
Hocus Pocus,Comedy,Family,Fantasy
Scream,Horror,Mystery,To be filled
The Meg,Action,Horror,Sci-Fi
Tusk,Comedy,Horror,To be filled
The Mummy,Action,Adventure,Fantasy
Sweeney Todd: The Demon Barber of Fleet Street,Drama,Horror,Musical
A Nightmare on Elm Street,Horror,To be filled,To be filled
Mother!,Drama,Horror,Mystery
Underwater,Action,Horror,Sci-Fi
The Exorcist,Horror,To be filled,To be filled
A Quiet Place,Drama,Horror,Sci-Fi
Smile,Horror,To be filled,To be filled
Cannibal Holocaust,Adventure,Horror,To be filled
Predator,Action,Adventure,Horror
The Hunt,Action,Horror,Thriller
The Lighthouse,Drama,Fantasy,Horror
Lamb,Drama,Fantasy,Horror
Candyman,Horror,Thriller,To be filled
Firestarter,Drama,Horror,Sci-Fi
Interview with the Vampire: The Vampire Chronicles,Drama,Fantasy,Horror
Jennifer's Body,Comedy,Horror,To be filled
Resurrection,Crime,Drama,Horror
The Empty Man,Horror,Mystery,Thriller
Nekromantik,Horror,To be filled,To be filled
Suspiria,Drama,Fantasy,Horror
Bone Tomahawk,Drama,Horror,Western
The Lost Boys,Comedy,Horror,To be filled
Ready or Not,Action,Comedy,Horror
From Dusk Till Dawn,Action,Crime,Horror
Psycho,Horror,Mystery,Thriller
The Evil Dead,Horror,To be filled,To be filled
Texas Chainsaw Massacre,Crime,Horror,Thriller
De uskyldige,Drama,Fantasy,Horror
Split,Horror,Thriller,To be filled
Jeepers Creepers: Reborn,Horror,Mystery,Thriller
Halloween Kills,Horror,Thriller,To be filled
Salem's Lot,Horror,Thriller,To be filled
Army of the Dead,Action,Crime,Horror
Doctor Sleep,Drama,Fantasy,Horror
Brightburn,Drama,Horror,Mystery
28 Days Later...,Drama,Horror,Sci-Fi
The Reef: Stalked,Horror,Thriller,To be filled
The Night House,Horror,Mystery,Thriller
Insidious,Horror,Mystery,Thriller
Dracula,Drama,Fantasy,Horror
It Follows,Horror,Mystery,Thriller
Constantine,Action,Fantasy,Horror
The Human Centipede (First Sequence),Horror,To be filled,To be filled
Life,Horror,Sci-Fi,Thriller
Carrie,Horror,Mystery,To be filled
El hoyo,Horror,Sci-Fi,Thriller
The Invisible Man,Drama,Horror,Mystery
Pahanhautoja,Horror,To be filled,To be filled
World War Z,Action,Adventure,Horror
Mlungu Wam,Horror,To be filled,To be filled
Bird Box,Horror,Sci-Fi,To be filled
Martyrs,Horror,To be filled,To be filled
Event Horizon,Horror,Sci-Fi,Thriller
The New Mutants,Action,Horror,Mystery
10 Cloverfield Lane,Drama,Horror,Mystery
Hellboy,Action,Adventure,Fantasy
Busanhaeng,Action,Horror,Thriller
Under the Skin,Drama,Horror,Mystery
Malignant,Crime,Horror,Mystery
What Ever Happened to Baby Jane?,Drama,Horror,Thriller
Saw,Horror,Mystery,Thriller
Shaun of the Dead,Comedy,Horror,To be filled
Halloween,Horror,Thriller,To be filled
Final Destination,Horror,Thriller,To be filled
The Hills Have Eyes,Horror,Thriller,To be filled
The Summoned,Horror,Thriller,To be filled
You Won't Be Alone,Drama,Horror,To be filled
Blade,Action,Horror,Sci-Fi
The Rocky Horror Picture Show,Comedy,Horror,Musical
The Others,Horror,Mystery,Thriller
Don't Breathe,Crime,Horror,Thriller
Wrong Turn,Horror,Thriller,To be filled
Titane,Drama,Horror,Sci-Fi
The Killing of a Sacred Deer,Drama,Horror,Mystery
Eight for Silver,Fantasy,Horror,Mystery
The Poughkeepsie Tapes,Horror,Mystery,Thriller
Poltergeist,Horror,Thriller,To be filled
Prey for the Devil,Horror,Thriller,To be filled
Vivarium,Horror,Mystery,Sci-Fi
The Crow,Action,Crime,Drama
Hotel Transylvania: Transformania,Animation,Adventure,Comedy
Escape Room: Tournament of Champions,Action,Adventure,Horror
The Conjuring: The Devil Made Me Do It,Horror,Mystery,Thriller
The Descent,Adventure,Horror,Thriller
The Craft,Drama,Fantasy,Horror
The Texas Chain Saw Massacre,Horror,To be filled,To be filled
Zombieland,Action,Comedy,Horror
Dashcam,Horror,To be filled,To be filled
They Live,Action,Horror,Sci-Fi
A Cure for Wellness,Drama,Fantasy,Horror
Don't Breathe 2,Action,Crime,Horror
The Rental,Drama,Horror,Mystery
Urban Legend,Horror,Mystery,Thriller
Hellraiser,Horror,Thriller,To be filled
The Visit,Horror,Mystery,Thriller
American Carnage,Comedy,Horror,To be filled
Spiral: From the Book of Saw,Crime,Horror,Mystery
Little Shop of Horrors,Comedy,Horror,Musical
The Fly,Drama,Horror,Sci-Fi
Friday the 13th,Horror,Mystery,Thriller
Wrong Turn,Horror,Thriller,To be filled
47 Meters Down,Adventure,Drama,Horror
Invasion of the Body Snatchers,Horror,Sci-Fi,To be filled
Tremors,Comedy,Horror,To be filled
The Medium,Horror,To be filled,To be filled
Antlers,Drama,Horror,Mystery
Vampires,Action,Horror,Thriller
Jaws 2,Adventure,Horror,Thriller
Escape Room,Action,Adventure,Horror
Piranha 3D,Comedy,Horror,To be filled
Gerald's Game,Drama,Horror,Thriller
Rosemary's Baby,Drama,Horror,To be filled
The Blair Witch Project,Horror,Mystery,To be filled
The Purge,Horror,Sci-Fi,Thriller
La tua presenza nuda!,Crime,Drama,Horror
I Spit on Your Grave,Horror,Thriller,To be filled
Ang-ma-reul bo-at-da,Action,Crime,Drama
Resident Evil: Apocalypse,Action,Horror,Sci-Fi
The Requin,Horror,Thriller,To be filled
The Velvet Vampire,Horror,To be filled,To be filled
I Know What You Did Last Summer,Horror,Mystery,To be filled
Doom,Action,Horror,Sci-Fi
Mandy,Action,Fantasy,Horror
Scary Movie 2,Comedy,Horror,To be filled
The House That Jack Built,Crime,Drama,Horror
Jeepers Creepers,Horror,Mystery,To be filled
Abandoned,Horror,To be filled,To be filled
Pitch Black,Action,Horror,Sci-Fi
The Babysitter,Comedy,Horror,To be filled
Climax,Drama,Horror,Music
The Conjuring 2,Horror,Mystery,Thriller
Dark Shadows,Comedy,Fantasy,Horror
Scream 4,Horror,Mystery,To be filled
The Ring,Horror,Mystery,To be filled
Gremlins,Comedy,Fantasy,Horror
King Kong,Adventure,Horror,To be filled
Marrowbone,Adventure,Drama,Horror
Glass,Drama,Horror,Sci-Fi
Blair Witch,Horror,Mystery,Thriller
Evil Dead Rise,Fantasy,Horror,Thriller
Hostel,Horror,To be filled,To be filled
Sleepy Hollow,Fantasy,Horror,Mystery
The Mummy: Tomb of the Dragon Emperor,Action,Fantasy,Horror
Cloverfield,Action,Horror,Sci-Fi
The Neon Demon,Horror,Thriller,To be filled
The Hunger,Drama,Horror,To be filled
The Cloverfield Paradox,Action,Horror,Sci-Fi
Evil Dead,Horror,To be filled,To be filled
Choose or Die,Drama,Horror,Thriller
The Green Inferno,Adventure,Horror,To be filled
House of 1000 Corpses,Horror,To be filled,To be filled
Resident Evil: Retribution,Action,Horror,Sci-Fi
The Menu,Comedy,Horror,To be filled
No One Gets Out Alive,Drama,Horror,Mystery
Antichrist,Drama,Horror,Thriller
The Cell,Crime,Horror,Sci-Fi
Fantasy Island,Fantasy,Horror,Mystery
The Forever Purge,Action,Horror,Thriller
Scary Stories to Tell in the Dark,Adventure,Horror,Mystery
Teeth,Comedy,Fantasy,Horror
Army of Darkness,Comedy,Horror,To be filled
Grave,Drama,Horror,To be filled
The Babadook,Horror,Mystery,To be filled
The Dead Don't Die,Comedy,Fantasy,Horror
Gokseong,Drama,Horror,Mystery
The Ritual,Horror,Mystery,Thriller
Crawl,Action,Adventure,Horror
Freaky,Comedy,Horror,Thriller
Silent Hill,Horror,Mystery,To be filled
Alien Resurrection,Action,Horror,Sci-Fi
Hush,Horror,Thriller,To be filled
The Boy,Horror,Mystery,Thriller
Friday the 13th,Horror,Mystery,Thriller
The Faculty,Horror,Mystery,Sci-Fi
Halloween,Crime,Horror,Thriller
Fear Street: 1666,Horror,Mystery,To be filled
The Witches,Adventure,Comedy,Family
Angel Heart,Horror,Mystery,Thriller
Alien³,Action,Horror,Sci-Fi
The Nun,Horror,Mystery,Thriller
Halloween,Horror,To be filled,To be filled
Willy's Wonderland,Action,Comedy,Horror
